Reads	Human_reads_removed
Sample_273-CAE111_6G4_2.fastq.gz	211815
Sample_274-CAE112_6G5_1.fastq.gz	134172
Sample_274-CAE112_6G5_2.fastq.gz	134172
Sample_275-CAG11W_6G6_1.fastq.gz	57755
Sample_275-CAG11W_6G6_2.fastq.gz	57755
Sample_276-CAM10Q_6G7_1.fastq.gz	26913
Sample_276-CAM10Q_6G7_2.fastq.gz	26913
Sample_277-NC_6_G9_1.fastq.gz	65512
Sample_277-NC_6_G9_2.fastq.gz	65512
Sample_278-CAC135_6H1_1.fastq.gz	318398
Sample_278-CAC135_6H1_2.fastq.gz	318398
Sample_279-CAC134_6H3_1.fastq.gz	45871
Sample_279-CAC134_6H3_2.fastq.gz	45871
Sample_27-CAE106_1F1_1.fastq.gz	82728
Sample_27-CAE106_1F1_2.fastq.gz	82728
Sample_280-CAG11Y_6H4_1.fastq.gz	345289
Sample_280-CAG11Y_6H4_2.fastq.gz	345289
Sample_281-CAI10K_6H5_1.fastq.gz	70082
Sample_281-CAI10K_6H5_2.fastq.gz	70082
Sample_282-CAD13Y_6H6_1.fastq.gz	150155
Sample_282-CAD13Y_6H6_2.fastq.gz	150155
Sample_283-CAD136_6I2_1.fastq.gz	38850
Sample_283-CAD136_6I2_2.fastq.gz	38850
Sample_284-CAC129_6I3_1.fastq.gz	10
Sample_284-CAC129_6I3_2.fastq.gz	10
Sample_285-CAM10K_6I5_1.fastq.gz	70550
Sample_285-CAM10K_6I5_2.fastq.gz	70550
Sample_286-CAJ103_6I6_1.fastq.gz	123713
Sample_286-CAJ103_6I6_2.fastq.gz	123713
Sample_287-CAL10T_6I7_1.fastq.gz	210653
Sample_287-CAL10T_6I7_2.fastq.gz	210653
Sample_288-CAL10U_7A1_1.fastq.gz	66712
Sample_288-CAL10U_7A1_2.fastq.gz	66712
Sample_289-CAL10V_7A2_1.fastq.gz	47439
Sample_289-CAL10V_7A2_2.fastq.gz	47439
Sample_28-CAD10J_1F4_1.fastq.gz	660036
Sample_28-CAD10J_1F4_2.fastq.gz	660036
Sample_290-CAD13P_7A3_1.fastq.gz	43698
Sample_290-CAD13P_7A3_2.fastq.gz	43698
Sample_291-CAI10D_7A4_1.fastq.gz	893736
Sample_291-CAI10D_7A4_2.fastq.gz	893736
Sample_292-CAD137_7A5_1.fastq.gz	71773
Sample_292-CAD137_7A5_2.fastq.gz	71773
Sample_293-CAB15F_7A7_1.fastq.gz	13874827
Sample_293-CAB15F_7A7_2.fastq.gz	13874827
Sample_294-CAB15G_7A8_1.fastq.gz	36935819
Sample_294-CAB15G_7A8_2.fastq.gz	36935819
Sample_295-CAI10E_7B1_1.fastq.gz	68767
Sample_295-CAI10E_7B1_2.fastq.gz	68767
Sample_296-CAH10J_7B2_1.fastq.gz	30477
Sample_296-CAH10J_7B2_2.fastq.gz	30477
