file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
Sample_315-CAB165_7E4_2.fastq	FASTQ	DNA	34222574	2892599392	20	84.5	151
Sample_316-CAG11G_7E5_1.fastq	FASTQ	DNA	25728323	2570583786	20	99.9	151
Sample_316-CAG11G_7E5_2.fastq	FASTQ	DNA	25728323	2562592649	20	99.6	151
Sample_317-CAE114_7E6_1.fastq	FASTQ	DNA	55534301	4542329533	20	81.8	151
Sample_317-CAE114_7E6_2.fastq	FASTQ	DNA	55534301	4526776600	20	81.5	151
Sample_318-CAC130_7E7_1.fastq	FASTQ	DNA	43029313	3640489660	20	84.6	151
Sample_318-CAC130_7E7_2.fastq	FASTQ	DNA	43029313	3632285753	20	84.4	151
Sample_319-CAG11H_7E8_1.fastq	FASTQ	DNA	59861974	5794298805	20	96.8	151
Sample_319-CAG11H_7E8_2.fastq	FASTQ	DNA	59861974	5775113569	20	96.5	151
Sample_31-CAE104_1F7_1.fastq	FASTQ	DNA	94095578	8747871207	20	93.0	151
Sample_31-CAE104_1F7_2.fastq	FASTQ	DNA	94095578	8725327327	20	92.7	151
Sample_320-CAB166_7E9_1.fastq	FASTQ	DNA	52109841	4760891796	20	91.4	151
Sample_320-CAB166_7E9_2.fastq	FASTQ	DNA	52109841	4745726122	20	91.1	151
Sample_321-CAE115_7F1_1.fastq	FASTQ	DNA	68724131	5953836196	20	86.6	151
Sample_321-CAE115_7F1_2.fastq	FASTQ	DNA	68724131	5940225044	20	86.4	151
Sample_322-CAH119_7F3_1.fastq	FASTQ	DNA	43084411	3953820558	20	91.8	151
Sample_322-CAH119_7F3_2.fastq	FASTQ	DNA	43084411	3943757477	20	91.5	151
Sample_323-CAD13W_7F5_1.fastq	FASTQ	DNA	59174367	4869282303	20	82.3	151
Sample_323-CAD13W_7F5_2.fastq	FASTQ	DNA	59174367	4855085716	20	82.0	151
Sample_324-CAE12E_7F7_1.fastq	FASTQ	DNA	71747919	6384591909	20	89.0	151
Sample_324-CAE12E_7F7_2.fastq	FASTQ	DNA	71747919	6357604987	20	88.6	151
Sample_325-CAE116_7F8_1.fastq	FASTQ	DNA	66754174	4970930405	20	74.5	151
Sample_325-CAE116_7F8_2.fastq	FASTQ	DNA	66754174	4960057694	20	74.3	151
Sample_326-CAH11A_7F9_1.fastq	FASTQ	DNA	62084233	4753021543	20	76.6	151
Sample_326-CAH11A_7F9_2.fastq	FASTQ	DNA	62084233	4745739505	20	76.4	151
Sample_327-CAH11C_7G1_1.fastq	FASTQ	DNA	71086326	5681809108	20	79.9	151
Sample_327-CAH11C_7G1_2.fastq	FASTQ	DNA	71086326	5668292950	20	79.7	151
Sample_328-CAD13X_7G3_1.fastq	FASTQ	DNA	41632762	4251134430	20	102.1	151
Sample_328-CAD13X_7G3_2.fastq	FASTQ	DNA	41632762	4239375459	20	101.8	151
Sample_329-CAF10F_7G4_1.fastq	FASTQ	DNA	55101488	4778174106	20	86.7	151
Sample_329-CAF10F_7G4_2.fastq	FASTQ	DNA	55101488	4768954711	20	86.5	151
Sample_32-CAC10S_1G1_1.fastq	FASTQ	DNA	79315554	7565476077	20	95.4	151
Sample_32-CAC10S_1G1_2.fastq	FASTQ	DNA	79315554	7540454645	20	95.1	151
Sample_330-CAI10J_7G5_1.fastq	FASTQ	DNA	73239034	6108333953	20	83.4	151
